"type","team_name","name","is_constructor","points","owned_league","owned_pct_league","owned_pct_global","price","avg_league_position","points_per_dollar","rank_ppd"
"CR","Alfa Romeo","ALFA ROMEO",1,193,1,0.0588235294117647,0.047,8.6,17,22.4418604651163,9
"CR","Ferrari","FERRARI",1,735,5,0.294117647058824,0.273,29.3,9.8,25.0853242320819,7
"CR","Haas","HAAS",1,126,0,0,0.036,8.3,17,15.1807228915663,21
"CR","McLaren","MCLAREN",1,265,0,0,0.056,8.1,17,32.7160493827161,2
"CR","Mercedes","MERCEDES",1,960,5,0.294117647058824,0.284,31.8,6,30.188679245283,3
"CR","Racing Point","RACING POINT",1,271,1,0.0588235294117647,0.016,10.5,10,25.8095238095238,5
"CR","Red Bull","RED BULL",1,615,2,0.117647058823529,0.174,24.2,6,25.4132231404959,6
"CR","Renault","RENAULT",1,250,2,0.117647058823529,0.091,12.1,13,20.6611570247934,11
"CR","Toro Rosso","TORO ROSSO",1,256,0,0,0.014,7.6,17,33.6842105263158,1
"CR","Williams","WILLIAMS",1,169,1,0.0588235294117647,0.008,6.2,9,27.258064516129,4
"DR","Alfa Romeo","A. GIOVINAZZI",0,65,5,0.294117647058824,0.086,6.3,10,10.3174603174603,27
"DR","Alfa Romeo","K. RAIKKONEN",0,163,6,0.352941176470588,0.504,10.1,9.5,16.1386138613861,19
"DR","Ferrari","C. LECLERC",0,389,2,0.117647058823529,0.381,23.5,9.5,16.5531914893617,17
"DR","Ferrari","S. VETTEL",0,411,5,0.294117647058824,0.238,28.7,12.2,14.3205574912892,23
"DR","Haas","K. MAGNUSSEN",0,78,3,0.176470588235294,0.222,9.3,14,8.38709677419355,29
"DR","Haas","R. GROSJEAN",0,0,2,0.117647058823529,0.121,6.7,11.5,0,30
"DR","McLaren","C. SAINZ",0,168,3,0.176470588235294,0.33,8.5,5.33,19.7647058823529,12
"DR","McLaren","L. NORRIS",0,92,3,0.176470588235294,0.346,5.8,3.33,15.8620689655172,20
"DR","Mercedes","L. HAMILTON",0,600,9,0.529411764705882,0.371,31.7,7.56,18.9274447949527,14
"DR","Mercedes","V. BOTTAS",0,460,7,0.411764705882353,0.302,21.3,7.86,21.5962441314554,10
"DR","Racing Point","L. STROLL",0,142,2,0.117647058823529,0.084,8.7,7.5,16.3218390804598,18
"DR","Racing Point","S. PEREZ",0,159,4,0.235294117647059,0.17,11,11.5,14.4545454545455,22
"DR","Red Bull","A. ALBON",0,166,4,0.235294117647059,0.199,13,5,12.7692307692308,25
"DR","Red Bull","M. VERSTAPPEN",0,460,6,0.352941176470588,0.327,25.8,8.67,17.8294573643411,16
"DR","Renault","D. RICCIARDO",0,101,6,0.352941176470588,0.442,10.1,11,10,28
"DR","Renault","N. HULKENBERG",0,141,2,0.117647058823529,0.205,11.4,12.5,12.3684210526316,26
"DR","Toro Rosso","D. KVYAT",0,129,4,0.235294117647059,0.255,7.2,7.5,17.9166666666667,15
"DR","Toro Rosso","P. GASLY",0,216,4,0.235294117647059,0.187,9.2,8.75,23.4782608695652,8
"DR","Williams","G. RUSSELL",0,138,4,0.235294117647059,0.115,7.2,9.75,19.1666666666667,13
"DR","Williams","R. KUBICA",0,86,4,0.235294117647059,0.117,6.1,9,14.0983606557377,24
