"team_name","race_position","race_name","race_number","points","team_changes","nickname","name","max_race_number","top_scores","lowest_scores","season_points","total_points","avg_points","avg_position","min_points","max_points","reverse_race_position","season_position_torace","winner_points","distance_to_first","winner_points_season","distance_to_first_season","season_position","podium","season_podiums","victory","season_victories","fourth","season_fourths","bottom_three","season_bottom_threes","last","season_lasts","avg_distance_to_first","clean_position","clean_nickname","clean_season_position","clean_race_number","clean_race_number_app","latest_race"
"get out me car",1,"Azerbaijan GP",1,136,18,"Paas tha Paastha","Aastha",18,113,133,136,2013,111.833333333333,8,28,181,12,1,136,0,136,0,13,1,5,1,3,0,1,0,7,0,2,73.2222222222222,"01 get out me car","01 Paas tha Paastha","13 Paas tha Paastha","01 Azerbaijan GP","01 Azerbaijan GP",0
"dabestteam",2,"Azerbaijan GP",1,135,1,"Al Pal","Allie",18,116,130,135,2138,118.777777777778,7.88888888888889,27,180,11,2,136,1,136,-1,10,1,2,0,0,0,1,0,3,0,2,66.2777777777778,"02 dabestteam","02 Al Pal","10 Al Pal","01 Azerbaijan GP","01 Azerbaijan GP",0
"Mac",3,"Azerbaijan GP",1,112,1,"Massive Open Online Course (Mooc)","Mac",18,164,82,112,2453,136.277777777778,6.72222222222222,85,208,10,3,136,24,136,-24,2,1,6,0,4,0,0,0,4,0,1,48.7777777777778,"03 Mac","03 Massive Open Online Course (Mooc)","02 Massive Open Online Course (Mooc)","01 Azerbaijan GP","01 Azerbaijan GP",0
"In your race",4,"Azerbaijan GP",1,109,13,"Zek Zek Dadumle","Zach",18,171.5,74.5,109,2221,123.388888888889,7.77777777777778,41,162,9,4,136,27,136,-27,7,0,2,0,0,1,2,0,3,0,1,61.6666666666667,"04 In your race","04 Zek Zek Dadumle","07 Zek Zek Dadumle","01 Azerbaijan GP","01 Azerbaijan GP",0
"Scotl@nd224",5,"Azerbaijan GP",1,108,6,"Oolin Hooey","Allen",18,174,72,108,2203,122.388888888889,7.61111111111111,50,188,8,5,136,28,136,-28,8,0,3,0,1,0,0,0,5,0,2,62.6666666666667,"05 Scotl@nd224","05 Oolin Hooey","08 Oolin Hooey","01 Azerbaijan GP","01 Azerbaijan GP",0
"scoring d scorecard",6,"Azerbaijan GP",1,90,1,"xtinae","Christina",18,202,44,90,2387,132.611111111111,6.83333333333333,53,183,7,6,136,46,136,-46,4,0,3,0,0,0,1,0,3,0,0,52.4444444444444,"06 scoring d scorecard","06 xtinae","04 xtinae","01 Azerbaijan GP","01 Azerbaijan GP",0
"FOR MA YOU TON",7,"Azerbaijan GP",1,87,1,"Emmaluments Clause","Emma",18,207.5,38.5,87,2395,133.055555555556,7,60,200,6,7,136,49,136,-49,3,0,6,0,1,0,1,0,4,0,2,52,"07 FOR MA YOU TON","07 Emmaluments Clause","03 Emmaluments Clause","01 Azerbaijan GP","01 Azerbaijan GP",0
"Raikkonen the dough",8,"Azerbaijan GP",1,84,18,"n8 n9 10","Nate",18,214,32,84,2563,142.388888888889,6.16666666666667,50,229,5,8,136,52,136,-52,1,0,7,0,3,0,1,0,4,0,3,42.6666666666667,"08 Raikkonen the dough","08 n8 n9 10","01 n8 n9 10","01 Azerbaijan GP","01 Azerbaijan GP",0
"Go Team 2",9,"Azerbaijan GP",1,81,1,"Shlaghs","Shlagha",18,217,29,81,2367,131.5,7.5,81,202,4,9,136,55,136,-55,5,0,4,0,2,0,1,0,4,0,1,53.5555555555556,"09 Go Team 2","09 Shlaghs","05 Shlaghs","01 Azerbaijan GP","01 Azerbaijan GP",0
"BARE P YA WASTEMAN",10,"Azerbaijan GP",1,69,15,"Toodle Lee","Todd",18,226,20,69,2158,119.888888888889,8,50,181,3,10,136,67,136,-67,9,0,4,0,1,0,1,1,6,0,1,65.1666666666667,"10 BARE P YA WASTEMAN","10 Toodle Lee","09 Toodle Lee","01 Azerbaijan GP","01 Azerbaijan GP",0
"FOOMOOLA WASTEMAN",11,"Azerbaijan GP",1,49,28,"Karnohmymy","Karna",18,240,6,49,2131,118.388888888889,8,49,184,2,11,136,87,136,-87,11,0,1,0,0,0,3,1,4,0,0,66.6666666666667,"11 FOOMOOLA WASTEMAN","11 Karnohmymy","11 Karnohmymy","01 Azerbaijan GP","01 Azerbaijan GP",0
